Food Name,Category Name,Calcium,Calories,Carbs,Cholesterol,Copper,Fats,Fiber,Folate,Iron,Magnesium,Monounsaturated Fat,Net carbs,Omega-3 - DHA,Omega-3 - DPA,Omega-3 - EPA,Phosphorus,Polyunsaturated fat,Potassium,Protein,Saturated Fat,Selenium,Sodium,Trans Fat,Vitamin A,Vitamin A RAE,Vitamin B1,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Zinc,Choline,Fructose,Histidine,Isoleucine,Leucine,Lysine,Manganese,Methionine,Phenylalanine,Starch,Sugar,Threonine,Tryptophan,Valine,Vitamin D,Vitamin E,Vitamin K,Omega-3 - ALA,Omega-6 - Eicosadienoic acid,Omega-6 - Gamma-linoleic acid,Omega-3 - Eicosatrienoic acid,Omega-6 - Dihomo-gamma-linoleic acid,Omega-6 - Linoleic acid,Omega-6 - Arachidonic acid,NIH_Food_Group
Acerola,Fruits,12.0,32.0,77.0,0.0,9.0,3.0,11.0,14.0,2.0,18.0,8.0,66.0,0.0,0.0,0.0,11.0,9.0,146.0,4.0,7.0,6.0,7.0,0.0,767.0,38.0,2.0,0.0,6.0,4.0,31.0,1.0,1678.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,Fruits
Apple,Fruits,6.0,52.0,14.0,0.0,3.0,17.0,24.0,3.0,12.0,5.0,1.0,11.0,0.0,0.0,0.0,11.0,5.0,107.0,26.0,3.0,0.0,1.0,0.0,54.0,3.0,2.0,0.0,3.0,9.0,6.0,4.0,46.0,4.0,34.0,59.0,1.0,1.0,1.0,1.0,4.0,0.0,1.0,5.0,10.0,1.0,0.0,1.0,0.0,18.0,22.0,,,,,,,,Fruits
Apricot,Fruits,13.0,48.0,11.0,0.0,8.0,39.0,2.0,9.0,39.0,10.0,17.0,91.0,0.0,0.0,0.0,23.0,8.0,259.0,14.0,3.0,1.0,1.0,0.0,1279.0,96.0,3.0,0.0,4.0,6.0,24.0,5.0,10.0,2.0,28.0,94.0,3.0,4.0,8.0,1.0,8.0,1.0,5.0,,92.0,5.0,2.0,5.0,0.0,89.0,33.0,,,,,,,,Fruits
Dried fruit,Fruits,55.0,241.0,63.0,0.0,34.0,51.0,73.0,10.0,27.0,32.0,7.0,55.0,0.0,0.0,0.0,71.0,7.0,1162.0,34.0,2.0,22.0,10.0,,3604.0,180.0,2.0,0.0,7.0,26.0,52.0,14.0,1.0,39.0,14.0,12.0,5.0,6.0,11.0,8.0,24.0,2.0,6.0,35.0,53.0,7.0,2.0,8.0,0.0,43.0,31.0,,,,,,,,Fruits
Avocado,Fruits,12.0,160.0,85.0,0.0,19.0,15.0,67.0,81.0,55.0,29.0,98.0,18.0,0.0,0.0,0.0,52.0,18.0,485.0,2.0,21.0,4.0,7.0,0.0,146.0,7.0,7.0,0.0,13.0,17.0,14.0,26.0,10.0,64.0,14.0,12.0,5.0,8.0,14.0,13.0,14.0,4.0,1.0,11.0,66.0,7.0,3.0,11.0,0.0,21.0,21.0,11.0,0.0,2.0,,,,,Fruits
Banana,Fruits,5.0,89.0,23.0,0.0,8.0,33.0,26.0,20.0,26.0,27.0,3.0,20.0,0.0,0.0,0.0,22.0,7.0,358.0,11.0,11.0,1.0,1.0,0.0,64.0,3.0,3.0,0.0,7.0,67.0,33.0,37.0,87.0,15.0,98.0,49.0,8.0,3.0,7.0,5.0,27.0,1.0,5.0,54.0,12.0,3.0,1.0,5.0,0.0,1.0,5.0,,,,,,,,Fruits
Blackberry,Fruits,29.0,43.0,96.0,0.0,17.0,49.0,53.0,25.0,62.0,20.0,5.0,43.0,0.0,0.0,0.0,22.0,28.0,162.0,14.0,1.0,4.0,1.0,0.0,214.0,11.0,2.0,0.0,3.0,65.0,28.0,3.0,21.0,53.0,85.0,24.0,,,,,65.0,,,0.0,49.0,,,,0.0,12.0,20.0,,,,,,,,Fruits
Blueberry,Fruits,6.0,57.0,14.0,0.0,6.0,33.0,24.0,6.0,28.0,6.0,5.0,12.0,0.0,0.0,0.0,12.0,15.0,77.0,74.0,3.0,1.0,1.0,0.0,54.0,3.0,4.0,0.0,4.0,42.0,12.0,5.0,97.0,16.0,6.0,5.0,1.0,2.0,4.0,1.0,34.0,1.0,3.0,3.0,10.0,2.0,0.0,3.0,0.0,57.0,19.0,,,,,,,,Fruits
Boysenberries,Fruits,27.0,50.0,12.0,0.0,8.0,26.0,53.0,63.0,85.0,16.0,3.0,69.0,0.0,0.0,0.0,27.0,15.0,139.0,11.0,1.0,2.0,1.0,0.0,67.0,3.0,5.0,0.0,4.0,77.0,25.0,6.0,31.0,22.0,10.0,,,,,,55.0,,,,69.0,,,,0.0,87.0,78.0,,,,,,,,Fruits
Breadfruit,Fruits,17.0,103.0,27.0,0.0,8.0,23.0,49.0,14.0,54.0,25.0,3.0,22.0,0.0,0.0,0.0,30.0,7.0,490.0,11.0,5.0,6.0,2.0,0.0,0.0,0.0,11.0,0.0,3.0,9.0,46.0,1.0,29.0,12.0,98.0,,,6.0,7.0,4.0,6.0,1.0,3.0,,11.0,5.0,,5.0,0.0,1.0,5.0,,,,,,,,Fruits
